Model_energy_poor,Precision,Recall,F1-Score,Accuracy,Balanced Accuracy
Benchmark,0.24,0.9,0.37,0.67,0.77
COM-1,0.27,0.91,0.42,0.65,0.76
COM-2,0.5,0.89,0.64,0.87,0.87
Extended Model,0.56,0.9,0.69,0.89,0.9
